Date,Advancers,Decliners,Neutral
1998-08-31,77,752,47
1998-09-01,576,243,57
1998-09-02,446,360,70
1998-09-03,246,547,83
1998-09-04,386,395,95
1998-09-08,701,105,70
1998-09-09,226,559,91
1998-09-10,197,604,75
1998-09-11,558,245,73
1998-09-14,580,215,81
1998-09-15,464,307,105
1998-09-16,453,317,106
1998-09-17,189,603,85
1998-09-18,489,289,99
1998-09-21,322,460,95
1998-09-22,509,280,88
1998-09-23,640,161,76
1998-09-24,237,562,78
1998-09-25,352,439,86
1998-09-28,472,306,99
1998-09-29,361,412,104
1998-09-30,279,524,74
1998-10-01,183,636,58
1998-10-02,467,321,89
1998-10-05,186,628,63
1998-10-06,394,394,89
1998-10-07,272,515,90
1998-10-08,168,652,58
1998-10-09,508,293,77
1998-10-12,581,213,84
1998-10-13,345,457,76
1998-10-14,490,288,100
1998-10-15,668,147,65
1998-10-16,551,254,75
1998-10-19,506,296,78
1998-10-20,582,216,82
1998-10-21,380,400,100
1998-10-22,463,314,103
1998-10-23,301,473,106
1998-10-26,484,321,75
1998-10-27,381,406,93
1998-10-28,376,387,117
1998-10-29,507,268,106
1998-10-30,585,215,81
1998-11-02,599,192,90
1998-11-03,397,384,100
1998-11-04,563,232,86
1998-11-05,503,286,92
1998-11-06,457,324,100
1998-11-09,243,542,96
1998-11-10,312,462,107
1998-11-11,279,496,106
1998-11-12,361,426,94
1998-11-13,383,385,114
1998-11-16,422,351,109
1998-11-17,387,379,118
1998-11-18,390,396,98
1998-11-19,437,331,116
1998-11-20,458,302,124
1998-11-23,508,282,94
1998-11-24,326,450,108
1998-11-25,370,400,114
1998-11-27,382,345,157
1998-11-30,255,550,79
1998-12-01,392,393,99
1998-12-02,326,448,110
1998-12-03,261,527,96
1998-12-04,546,231,107
1998-12-07,457,324,103
1998-12-08,291,481,112
1998-12-09,388,374,122
1998-12-10,196,588,100
1998-12-11,316,479,89
1998-12-14,189,613,82
1998-12-15,439,354,91
1998-12-16,376,418,90
1998-12-17,478,302,104
1998-12-18,416,367,101
1998-12-21,478,329,77
1998-12-22,319,471,94
1998-12-23,523,262,99
1998-12-24,384,356,144
